listing_id,offer_type,property_type,price,currency,area_m2,area_unit,bedrooms,bathrooms,governorate,city,district,compound,latitude,longitude,listed_at,furnished,payment_plan,is_verified,source_url,listing_url,title,description,listed_month,listed_year,source
propertyfinder_eg:70626178,sale,Apartment,5751000,EGP,162,sqm,3,2,Cairo,Cairo,The 5th Settlement,Shalya Taj City,30.059783935546875,31.410795211791992,2026-04-30 09:52:00+00:00,0,"cash, installments",False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-shalya-taj-city-70626178.html,DP710K OWN APT 162m TYPICAL FIOOR INST12Y-TAJCITY,"Apartment for sale on a typical floor in Taj City Compound, First Settlement
 direct from Cairo Airport.
                                                                                                                                                             
162m
                                                                   
Viewing landscaped gardens amidst green spaces.
Top-level services available within the compound.
                                                                                                       
710,000 EGP down payment, and the rest in equal installments for up to 12 years.
50% discount for a limited time.
                                                                                                                                        
For reservations and inquiries, WhatsApp or call 01064745598",4,2026,Property Finder Egypt
propertyfinder_eg:70633806,sale,Apartment,4680000,EGP,160,sqm,3,2,Cairo,Cairo,The 5th Settlement,Unknown,30.0551872253418,31.336204528808597,2026-04-30 13:17:26+00:00,0,"cash, installments",False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-icon-residence-ii-70633806.html,"3-BR Apt for sale +prime location,The Icon\DP 690K","3-Bedroom Apartment for Sale in The Icon Compound, Fifth Settlement

160 sq m
Open Pool View
Distinctive Layout

Prime Location near Hyde Park Compound, minutes from the American University in Cairo and Mivida Compound

Down payment of 690,000 EGP with the remaining balance payable in installments over up to 10 years
Or 4,680,000 EGP cash after discount

The compound offers full services and amenities

For reservations and inquiries, please call or WhatsApp 01070778765",4,2026,Property Finder Egypt
propertyfinder_eg:71396106,sale,Apartment,5300000,EGP,128,sqm,2,2,Cairo,Cairo,The 5th Settlement,Unknown,30.078453063964844,31.42692375183105,2026-05-02 15:22:44+00:00,0,"cash, installments",False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-71396106.html,APT with 0%DP in Taj City Compound+12Y installment,"Take advantage of the 0% discount, back from Madinet Misr Company, plus multiple payment options with extended repayment periods! A two-bedroom apartment with a clear sea view is for sale in Taj City Compound: directly on the Suez Road, opposite Cairo Airport, and on the Ring Road opposite the Kempinski and JW Marriott hotels.

The apartment is 128 square meters, divided into (two bedrooms, two bathrooms, a three-piece reception area, and two terraces with stunning landscape views).

Your opportunity to live and invest in a fully-serviced, already-occupied compound. Flexible payment plan, all facilities, greenery, and water features.

All this with no down payment and the longest repayment period of 12 years (interest-free).

+ Get up to a 50% discount if you pay any down payment or reduce your repayment period by one year.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Contact the company: 01090221997 (WhatsApp available).",5,2026,Property Finder Egypt
propertyfinder_eg:71395212,sale,Apartment,11500000,EGP,160,sqm,3,2,Cairo,Cairo,The 6th Settlement,Unknown,29.955154418945312,31.57144927978516,2026-05-02 14:46:39+00:00,0,installments,False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-6th-settlement-el-patio-riva-71395212.html,Lowest price in La Vista New Cairo,"Apartment for sale in La Vista, in the heart of New Cairo, with installments over 10 years at the lowest price in La Vista.
Apartment area: 160 sq m
Divided into (Reception - Master bedroom - 2 bedrooms - Bathroom - Kitchen - Terrace)
Contract with a 5% down payment and the rest in equal installments.
Contact us for all details by phone or WhatsApp: 01050853687

Location of La Vista Patio Riva Compound, New Cairo
Located in the heart of New Cairo, specifically in the Sixth Settlement, adjacent to the Walkazar and Z East shopping centers.",5,2026,Property Finder Egypt
propertyfinder_eg:71394359,sale,Apartment,25000000,EGP,205,sqm,3,1,Cairo,Cairo,The 5th Settlement,Unknown,30.026145935058597,31.53697395324707,2026-05-02 14:14:35+00:00,0,cash,False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-71394359.html,appartment in Lake view residence,"Lake view residence

1st floor 
Direct long view of the lake from furthest point in unit.
Closest to the main gate

205 m2 
3 bedrooms 
(1 master with toilet)
2 toilets 
1 guest toilet
1 storage/office/nanny’s room with toilet
Open kitchen on long lake view
Black Bosch kitchen appliances
Air condition/Heating system
For rent :
3,000 usd (including kitchen & appliances)
2,500 usd (excluding kitchen & appliances
For sale: 24 million ner
For more details

01103900966
Lake View Residence Compound, Fifth Settlement, is one of the most wonderful things presented by Al-Hazek Construction Company to the Egyptian real estate market, as it chose the most prestigious places in New Cairo for its construction.

It has also offered, through Lake View Residence Compound, extremely luxurious units that vary between apartments, penthouses, and villas, to give the customer thinking space to choose what is best for him

The location of Lake View Residence Fifth Settlement Compound is ideal in the heart of New Cairo in the “Golden Square”, which makes it enjoy the following advantages:

Very close to the ""Bin Zayed"" axis.

Surrounded by Mivida, Sodic, Layan, and Kattameya Palm Hills.

Located minutes away from the American University.

Lake View Residence Compound is located just two minutes away from Al-Nawadi Street.

It is only a few minutes away from South 90th Street.

It is less than 15 minutes away from Cairo International Airport.

It is minutes away

Century 22 Real Estate Consulting is your new advisor to find a better future. You are looking for a dream home, we are there to guide you. Due to our long experience in the Egyptian real estate market, we offer you exactly what you are looking for, if not better, to provide all amenities to satisfy and comfort cu 

For sale: 24 million ner",5,2026,Property Finder Egypt
propertyfinder_eg:8717237,sale,Apartment,6500000,EGP,153,sqm,3,2,Cairo,Cairo,The 5th Settlement,Unknown,29.96841812133789,31.52889060974121,2026-02-15 12:37:25+00:00,0,cash,False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-rock-vera-8717237.html,Apartment Ready To Move For Sale Rock Vera,"Rock Vera Compound in the heart of New Cairo, next to the American University in Cairo (AUC) and Hyde Park.

This fully populated compound offers all amenities.

Unit Details:
Area: 153 sqm + 21 sqm Garden
3 Bedrooms
2 Bathrooms
2-Piece Reception
Kitchen
Cash Discount: 40%
Total Price: 6,500,000 EGP
---------------------------------------------------------
Rock Vera New Cairo is just 3 minutes away via the Middle Ring Road.

The Rock Vera project in New Cairo is only 10 minutes from the New Administrative Capital.

El Batal Group's project is only 15 minutes from Waterway.",2,2026,Property Finder Egypt
propertyfinder_eg:71397055,sale,Apartment,14108863,EGP,1654,sqm,2,3,Cairo,Cairo,The 5th Settlement,Unknown,29.9559268951416,31.559267044067383,2026-05-02 16:51:04+00:00,0,"cash, installments",False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-crescent-walk-71397055.html,2BR Apt CrescentWalk |165 sqm| Below Primary Price,"""Crescent Walk in East Cairo by Marakez is designed as a high-end residential community, offering a distinctive blend of green spaces and urban convenience. The compound is notable for its architectural style, blending contemporary design with details inspired by traditional Cairo neighborhoods (with 4m high ceilings!), making it not only aesthetically appealing but also practical, with easy access to major highways and nearby destinations:
 7 MINS FROM GOLDEN SQUARE
 12 MINS FROM AUC
 14 MINS FROM DISTRICT 5
 
 Key amenities include a clubhouse, gym, underground parking, and dedicated children’s areas, enhancing the lifestyle offerings for residents of all ages​""


About HomeScout
HomeScout is a premier real estate company based in Egypt, dedicated to helping buyers find the right property with confidence and ease. Whether you’re searching for a residential home or a commercial investment, we specialize in connecting you with properties that match your needs, goals, and budget.
With years of experience in Egypt’s real estate market, we understand that buying property is a major decision built on trust and accurate information. At HomeScout, we prioritize transparency, integrity, and personalized guidance, ensuring you have clear insights at every step of your buying journey.
Our mission is to equip you with the tools, market knowledge, and expert support needed to navigate the resale market successfully. From your first search to final ownership, HomeScout is here to help you make the right move.",5,2026,Property Finder Egypt
propertyfinder_eg:70625535,sale,Apartment,5300000,EGP,160,sqm,3,2,Cairo,Cairo,The 5th Settlement,Unknown,30.00636863708496,31.500865936279297,2025-12-16 16:30:13+00:00,0,cash,False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-american-university-housing-district-8428142.html,3BR Apartment For Sale In NewCairo,"
Apartment area 160 square meters
First floor
Ultra super lux finishing

Interior layout
Three bedrooms
Two bathrooms
Reception with two sections

Area features
Prestigious and quiet residential area
Very close to the American University
Close to The Spot Mall
Close to Point 90 Mall
Minutes away from South 90th Street
Close to all services restaurants and cafes

Asking price 5300000 Egyptian pounds final
",12,2025,Property Finder Egypt
propertyfinder_eg:71396384,sale,Apartment,7100000,EGP,200,sqm,3,2,Cairo,Cairo,Al Narges,Unknown,30.00187110900879,31.454647064208984,2026-05-02 15:41:40+00:00,0,cash,False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-al-narges-el-narges-buildings-71396384.html,3BR Apartment For Sale In narges,"Apartment for sale in El Narges Buildings with an open garden view

A great opportunity to own a ground floor apartment with a private garden in a prime location in New Cairo. The apartment مساحة 200 square meters بالإضافة إلى a private garden of 70 square meters overlooking a large open garden, offering a calm and relaxing atmosphere

The apartment features ultra super lux finishing and a practical layout including 3 bedrooms, 2 bathrooms, a spacious 3-piece reception area, and a comfortable living room with excellent natural lighting and high privacy

Prime location close to all services and main roads, making it ideal for upscale living or investment

Asking price 7,000,000 EGP

For more details or to schedule a viewing, please send a private message",5,2026,Property Finder Egypt
propertyfinder_eg:71396379,sale,Apartment,17000000,EGP,160,sqm,2,3,Cairo,Cairo,The 6th Settlement,Unknown,29.97331428527832,31.55760955810547,2026-05-02 15:41:17+00:00,0,cash,False,https://www.propertyfinder.eg/en/buy/cairo/apartments-for-sale-new-cairo-city.html,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-the-6th-settlement-new-cairo-city-hyde-park-central-71396379.html,Mazzonat for sale in Hyde Park Fully Finished,"Mazzonat for sale in Hyde Park 
Area 160m
2 bedrooms ( 1 master )
3 bathrooms 
Fully Finished
Kitchen and AC's 
Heaters 
Price 17M
more details
salma
01103900966
Hyde Park, Fifth Settlement, is a distinguished residential project that occupies a prominent position among the most luxurious compounds in New Cairo. It is a partnership between Hyde Park and the Housing and Development Bank. It is located on an area of ​​1,200 acres, in a quiet atmosphere away from noise and pollution, and with a high level of privacy and security.

The project was implemented in the best places in New Cairo, directly on South 90th Street, and the new regional ring road, next to Mivida (Emaar), Mountain View Hyde Park, and The Square (Sabour), and 5 minutes from the American University, and 10 minutes from Cairo Airport, and 15 minutes from Heliopolis and Nasr City",5,2026,Property Finder Egypt
